,designation,period,provenience,museum_no
P405421,"UF 10, 147 15",Old Babylonian,Uruk (mod. Warka),BM 014070
P405422,"UF 10, 147 16",Old Babylonian,Uruk (mod. Warka),BM 014072
P405423,"UF 10, 148 17",Old Babylonian,Uruk (mod. Warka),BM 014074
P405424,"UF 10, 148 18",Old Babylonian,Uruk (mod. Warka),BM 014075
P405425,"UF 10, 149 19",Old Babylonian,Uruk (mod. Warka),BM 014077
P405426,"UF 10, 149 20",Old Babylonian,Uruk (mod. Warka),BM 014078
P405427,"UF 10, 150 21",Old Babylonian,Uruk (mod. Warka),BM 014079
P405428,"UF 10, 150 22",Old Babylonian,Uruk (mod. Warka),BM 014080
P405429,"UF 10, 151 23",Old Babylonian,Uruk (mod. Warka),BM 014081
P405430,"UF 10, 151 24",Old Babylonian,Uruk (mod. Warka),BM 014082
P405431,"UF 10, 152 25",Old Babylonian,Uruk (mod. Warka),BM 014084
P405432,"UF 10, 152 26",Old Babylonian,Uruk (mod. Warka),BM 014086
P405433,"UF 10, 153 27",Old Babylonian,Uruk (mod. Warka),BM 014087
P405434,"UF 10, 153 28",Old Babylonian,Uruk (mod. Warka),BM 014090
P405435,"UF 10, 154 29",Old Babylonian,Uruk (mod. Warka),BM 014091
P405436,"UF 10, 154 30",Old Babylonian,Uruk (mod. Warka),BM 014092
P405437,"UF 10, 155 31",Old Babylonian,Uruk (mod. Warka),BM 014094
P405438,"UF 10, 155 32",Old Babylonian,Uruk (mod. Warka),BM 014154
P405439,"UF 10, 156 33",Old Babylonian,Uruk (mod. Warka),BM 014162
P405440,"UF 10, 156 34",Old Babylonian,Uruk (mod. Warka),BM 014175
P405441,"UF 10, 157 35",Old Babylonian,Uruk (mod. Warka),BM 014182
P405442,"UF 10, 157 36",Old Babylonian,Uruk (mod. Warka),BM 014188
P405443,"UF 10, 158 37",Old Babylonian,Uruk (mod. Warka),BM 014211
P405444,"UF 10, 158 38",Old Babylonian,Uruk (mod. Warka),BM 014212
P405445,"UF 10, 159 39",Old Babylonian,Uruk (mod. Warka),BM 014228
P405446,"UF 10, 159 40",Old Babylonian,Uruk (mod. Warka),BM 014231
P405447,"BagM 31, 124 320",Old Babylonian,Uruk (mod. Warka),uncertain
P405448,"BagM 31, 125-126 321",Old Babylonian,Uruk (mod. Warka),uncertain
P405449,"Nisaba 04 app, 195-197",Old Babylonian,Uruk (mod. Warka),BM 016379
P450684,"BagM 31, 103 281",Old Babylonian,Uruk (mod. Warka),uncertain
P450685,"SANER 2, 25",Old Babylonian,Uruk (mod. Warka),A 04700
P450686,"SANER 2, 26",Old Babylonian,Uruk (mod. Warka),A 04906
P450687,"RSO 82, 01",Old Babylonian,Uruk (mod. Warka),BM 086048bis
P450688,"RSO 82, 02",Old Babylonian,Uruk (mod. Warka),BM 086093a
P450689,"RSO 82, 03",Old Babylonian,Uruk (mod. Warka),BM 086095a
P450690,"RSO 82, 04",Old Babylonian,Uruk (mod. Warka),BM 086145
P450691,"RSO 82, 05",Old Babylonian,Uruk (mod. Warka),BM 087738a
P450692,"RSO 82, 06",Old Babylonian,Uruk (mod. Warka),BM 088510
P450693,"RSO 82, 07",Old Babylonian,Uruk (mod. Warka),BM 088533
P450694,"RSO 82, 08",Old Babylonian,Uruk (mod. Warka),BM 088588a
P450695,"RSO 82, 09",Old Babylonian,Uruk (mod. Warka),BM 088601
P450696,"RSO 82, 10",Old Babylonian,Uruk (mod. Warka),BM 088619
P450697,"RSO 82, 11",Old Babylonian,Uruk (mod. Warka),BM 088694
P450698,"RSO 82, 12",Old Babylonian,Uruk (mod. Warka),BM 088701
P450699,"RSO 82, 13",Old Babylonian,Uruk (mod. Warka),BM 088802
P450700,"RSO 82, 14",Old Babylonian,Uruk (mod. Warka),BM 088817
P450701,"RSO 82, 15",Old Babylonian,Uruk (mod. Warka),BM 088977
P450702,"RSO 82, 16",Old Babylonian,Uruk (mod. Warka),BM 088980
